linear-out,linear-in,linear-in-out,exponential-out,exponential-in,exponential-in-out,t
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020099989796959483,0.00010203040506070844,0.0003040299948778681,0.02489720721984821,2.7921421613461405e-42,2.145503045089672e-41,0.010101010101010102
0.039995918783797546,0.0004081216202428328,0.0012078750982944448,0.0495390798020071,6.149772668429387e-09,4.278226898321931e-07,0.020202020202020204
0.0596877869605142,0.0009182736455463738,0.0026991679884241903,0.07392302585017622,1.0567418259835334e-08,1.0513223811515121e-06,0.030303030303030304
0.07917559432710944,0.0016324864809713314,0.004765541343441563,0.0980464261808177,0.0,9.437881807602658e-07,0.04040404040404041
0.09845934088358328,0.002550760126517705,0.007394627841521025,0.12190663860764656,0.0,0.0,0.05050505050505051
0.1175390266299357,0.0036730945821854964,0.010574060160837033,0.1455009979669326,0.0,0.0,0.06060606060606061
0.13641465156616675,0.004999489847974705,0.01429147097956405,0.16882681611750058,1.215934490240297e-08,0.0,0.07070707070707072
0.15508621569227632,0.006529945923885328,0.018534492975876525,0.1918813819407299,1.9373815418443985e-07,0.0,0.08080808080808081
0.17355371900826455,0.008264462809917371,0.02329075882794893,0.21466196134055493,1.0956444239927053e-06,5.388339245689285e-06,0.09090909090909091
0.19181716151413133,0.010203040506070831,0.02854790121395573,0.23716579724346495,3.3051144056425304e-06,2.0532158550999965e-05,0.10101010101010102
0.20987654320987637,0.012345679012345696,0.03429355281207138,0.2593901095985533,8.734192534900866e-06,5.711684068381254e-05,0.11111111111111112
0.22773186409550028,0.014692378328741982,0.04051534630047032,0.28133212969970867,2.1132255591301887e-05,0.00014191801076541576,0.12121212121212122
0.24538312417100278,0.01724313845525969,0.04720091435732704,0.30298904420735495,4.608601269814703e-05,0.000311661996726211,0.13131313131313133
0.26283032343638385,0.019997959391898808,0.054337889660815986,0.32435798606273497,9.101950532250497e-05,0.0006129198579733581,0.14141414141414144
0.2800734618916435,0.022956841138659343,0.06191390488911159,0.34543608407894266,0.0001651702268631056,0.0011021073853907744,0.15151515151515152
0.29711253953678174,0.0261197836955413,0.06991659272038835,0.36622046294092286,0.0002799754753104773,0.00184548510133914,0.16161616161616163
0.3139475563717986,0.029486787062544675,0.07833358583282073,0.3867082432054716,0.0004492240950842107,0.002919158259655892,0.17171717171717174
0.33057851239669395,0.03305785123966945,0.08715251690458313,0.4068965413012355,0.0006877324403918255,0.004409076845655218,0.18181818181818182
0.34700540761146803,0.03683297622691565,0.09636101861385007,0.4267824695287126,0.0010112198151211534,0.006402653816182847,0.19191919191919193
0.3632282420161206,0.04081216202428328,0.10594672363879602,0.4463631360602517,0.0014363084728403323,0.00898446629009503,0.20202020202020204
0.37924701561065166,0.0449954086317723,0.11589726465759541,0.4656356449400524,0.0019805236167978104,0.012241609256271033,0.21212121212121213
0.39506172839506143,0.04938271604938276,0.1262002743484227,0.4845970960841656,0.0026617569409495235,0.016254283558102843,0.22222222222222224
0.4106723803693498,0.05397408427711463,0.13684338538945234,0.5032445852804932,0.003497554068252644,0.021095756450715864,0.23232323232323235
0.4260789715335167,0.0587695133149679,0.14781423045885878,0.5215752041887877,0.004505415845523657,0.02683236160096892,0.24242424242424243
0.4412815018875622,0.06376900316294261,0.1591004422348165,0.5395860403406532,0.005702249566759155,0.03352349908745429,0.25252525252525254
0.4562799714314863,0.06897255382103873,0.17068965339550002,0.557274177139544,0.007104364171250775,0.04122163540049768,0.26262626262626265
0.47107438016528896,0.07438016528925626,0.1825694966190837,0.5746366945354312,0.008727470243585214,0.04997158826578498,0.27272727272727276
0.4856647280889702,0.0799918375675952,0.19472760458374205,0.5916707971406744,0.010586660917146606,0.05980552759500895,0.2828282828282829
0.50005101520253,0.08580757065605554,0.20715160996764942,0.6083736544664065,0.012696101353182693,0.07074525284770228,0.29292929292929293
0.5142332415059684,0.09182736455463733,0.21982914544898047,0.6247423900236267,0.015069031023297484,0.08280418069948005,0.30303030303030304
0.5282114069992855,0.09805121926334052,0.23274784370590956,0.6407741931012593,0.01771783841836184,0.09598733114184849,0.31313131313131315
0.5419855116824811,0.10447913478216515,0.2458953374166111,0.6564663187661525,0.020654043656134404,0.11029132748220528,0.32323232323232326
0.5555555555555552,0.11111111111111119,0.25925925925925963,0.671816087863079,0.023888298481261554,0.1257043963438395,0.33333333333333337
0.568921538618508,0.11794714825017863,0.27282724191202956,0.6868208870147361,0.027430386265277436,0.14220636766593156,0.3434343434343435
0.5820834608713393,0.12498724619936749,0.2865869180530954,0.7014781686217453,0.031289222006603966,0.1597686747035533,0.3535353535353536
0.5950413223140492,0.13223140495867775,0.3005259203606315,0.7157854508626526,0.03547286987873574,0.17835435402766767,0.36363636363636365
0.6077951229466376,0.13967962452810942,0.3146318815128124,0.7297403176939283,0.03998881329092025,0.19792234115282387,0.37373737373737376
0.6203448627691048,0.14733190490766257,0.32889243418781267,0.7433404188499676,0.04484345015833499,0.21842426925065409,0.38383838383838387
0.6326905417814505,0.15518824609733703,0.3432952110638065,0.7565834698430896,0.05004244921026346,0.23980311223877093,0.393939393939394
0.6448321599836748,0.16324864809713305,0.35782784481896873,0.7694672519635377,0.055590925781965714,0.26199842257448575,0.4040404040404041
0.6567697173757776,0.17151311090705035,0.37247796813147327,0.7819897539882184,0.061493441814678314,0.28494633162937216,0.4141414141414142
0.6685032139577589,0.17998163452708907,0.3872332136794951,0.7941491441316236,0.06775400585561435,0.30857954968926593,0.42424242424242425
0.6800326497296191,0.18865421895724935,0.4020812141412086,0.8059435485534688,0.07437607305796352,0.33282736595426565,0.43434343434343436
